,star_id,planet_id,transit_period,transit_t0_BRJD,transit_rp_rstar,transit_a_rstar,transit_inc,transit_ecc,transit_w,transit_limb1_F146,transit_limb2_F146,transit_limb1_F087,transit_limb2_F087,transit_limb1_F213,transit_limb2_F213,transit_fp_fstar_F146,transit_fp_fstar_F087,transit_fp_fstar_F213,transit_t0_sec,planet_n_transits,planet_est_transit_snr,planet_radius,planet_sma,planet_impact,planet_teff_eq,star_n_planets,star_mass,star_radius,star_teff,star_logg,star_met,star_Mbol,star_dist,star_Av,F146,F062,F087,F106,F129,F158,F184,F213
16,8866,8866.03,20.264511,111.752663,0.165022,72.590772,89.4258,0.1186,93.3,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,121.797095,4.0,13.3,5.13,0.0962,0.7274,292.0,4,0.289,0.285,3614.0,4.99,-0.485,9.505,2.7181,0.9187152834609676,21.0994,23.0919,22.0253,21.5934,21.1616,21.0027,21.0856,21.1684
17,8866,8866.04,28.524173,109.509473,0.121555,91.172957,89.8276,0.0775,194.6,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,122.412322,3.0,6.6,3.78,0.1209,0.2743,261.0,4,0.289,0.285,3614.0,4.99,-0.485,9.505,2.7181,0.9187152834609676,21.0994,23.0919,22.0253,21.5934,21.1616,21.0027,21.0856,21.1684
18,9216,9216.01,1.915143,106.241568,0.14098,16.302588,89.7518,0.0917,238.3,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,107.14048,36.0,13.2,3.75,0.0185,0.0706,556.0,1,0.23,0.244,3258.0,5.0,0.072,10.295,2.7498,0.8591324460104636,21.5266,24.3023,22.8222,22.2178,21.6133,21.4206,21.493,21.5654
19,10191,10191.01,32.419904,116.049376,0.301966,107.480626,89.9252,0.0241,255.6,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,132.137329,2.0,16.8,8.04,0.122,0.1402,216.0,1,0.23,0.244,3258.0,5.0,-0.153,10.295,2.8271,0.6777552068698065,21.7083,24.3694,22.9535,22.3656,21.7776,21.6138,21.6863,21.7587
20,11335,11335.01,0.663853,105.014715,0.189687,7.355354,88.4766,0.0029,17.6,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,8e-06,0.0,4.6e-05,104.684079,106.0,39.9,6.29,0.0104,0.1955,866.0,1,0.34,0.304,3411.0,4.94,0.057,9.619,2.9124,1.0492719162836828,21.1595,23.6736,22.3376,21.7975,21.2574,21.0431,21.1199,21.1966
21,16469,16469.01,14.735024,108.661106,0.161435,61.309212,89.0841,0.111,329.2,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,102.189217,5.0,8.7,4.75,0.077,0.98,292.0,1,0.28,0.27,3325.0,4.97,0.146,9.985,3.232,1.012032603707088,21.6325,24.3532,22.9106,22.3242,21.7379,21.5084,21.5891,21.6698
22,16894,16894.01,169.629285,161.18081,0.044565,136.060267,89.9082,0.0916,284.0,0.0843,0.2749,0.2854,0.2544,0.0821,0.2291,0.0,0.0,0.0,78.782015,1.0,5.9,4.38,0.5708,0.2179,348.0,1,0.861,0.902,5888.0,4.47,-0.271,4.886,3.2569,1.020356705003675,17.8054,18.2372,17.8508,17.7761,17.7014,17.7623,17.9309,18.0994
23,25299,25299.01,64.377593,117.704785,0.112397,117.413442,89.6593,0.0891,163.3,0.0581,0.2585,0.246,0.3528,0.0448,0.2215,0.0,0.0,0.0,146.402206,1.0,6.3,5.75,0.2561,0.6981,237.0,1,0.54,0.469,3735.0,4.78,0.191,8.283,3.65,1.2499259803532468,20.4345,22.5433,21.4442,21.0062,20.5681,20.275,20.3805,20.4861
24,29775,29775.01,6.820633,110.949015,0.115854,28.472999,89.6866,0.0816,302.3,0.0581,0.2585,0.246,0.3528,0.0448,0.2215,0.0,0.0,0.0,107.729128,10.0,9.5,5.17,0.0542,0.1558,496.0,3,0.455,0.409,3846.0,4.88,-0.326,8.454,3.8255,1.4957053806867229,20.8939,22.911,21.8544,21.4362,21.0181,20.7517,20.8408,20.93
25,29775,29775.02,26.308859,122.278224,0.165409,70.030102,89.3874,0.1576,166.3,0.0581,0.2585,0.246,0.3528,0.0448,0.2215,0.0,0.0,0.0,132.878339,3.0,13.2,7.38,0.1332,0.7487,317.0,3,0.455,0.409,3846.0,4.88,-0.326,8.454,3.8255,1.4957053806867229,20.8939,22.911,21.8544,21.4362,21.0181,20.7517,20.8408,20.93
26,29775,29775.03,33.5743,128.108604,0.512862,82.392571,89.5347,0.0073,281.7,0.0581,0.2585,0.246,0.3528,0.0448,0.2215,0.0,0.0,0.0,111.354932,2.0,108.2,22.88,0.1567,0.6692,292.0,3,0.455,0.409,3846.0,4.88,-0.326,8.454,3.8255,1.4957053806867229,20.8939,22.911,21.8544,21.4362,21.0181,20.7517,20.8408,20.93
27,33605,33605.01,10.623294,111.427442,0.058121,32.073334,88.7259,0.1194,254.7,0.1464,0.3012,0.3782,0.2412,0.1185,0.2557,0.0,0.0,0.0,116.525048,6.0,3.2,3.33,0.0783,0.7132,505.0,1,0.567,0.525,4150.0,4.76,-1.23,7.583,3.961,1.000641750238793,20.4491,21.7558,21.0393,20.7615,20.4836,20.3522,20.463,20.5737
28,33669,33669.01,0.652148,105.258883,0.045321,4.356814,78.61,0.0106,72.0,0.1502,0.3388,0.4903,0.1575,0.1291,0.2848,9e-06,0.0,3.1e-05,104.934316,107.0,8.7,3.16,0.0129,0.8604,1375.0,1,0.68,0.639,4166.0,4.68,0.354,7.14,3.9645,0.9147723760707206,19.657,21.0726,20.339,20.0406,19.7422,19.5047,19.6479,19.7911
29,38143,38143.01,24.839063,108.110774,0.103521,47.295286,89.4782,0.0718,235.2,0.0755,0.3776,0.4143,0.1988,0.0774,0.3097,0.0,0.0,0.0,119.88296,3.0,17.2,7.7,0.15,0.4307,511.0,1,0.729,0.682,5105.0,4.64,-0.048,6.114,4.1083,1.5758793281206476,19.2497,20.307,19.6921,19.479,19.2658,19.1466,19.2851,19.4236
30,38705,38705.01,32.114213,122.889061,0.233243,84.222406,89.5061,0.013,349.5,-0.0011,0.3035,0.2343,0.3987,-0.0049,0.2593,0.0,0.0,0.0,107.095357,2.0,16.2,9.85,0.1516,0.726,269.0,1,0.45,0.387,3585.0,4.83,0.035,8.88,4.1269,1.3817969504571814,21.3308,23.7024,22.4774,21.9614,21.4454,21.2051,21.2791,21.353
31,48387,48387.01,24.098474,105.808221,0.195885,65.286703,89.4247,0.0332,293.1,0.0581,0.2585,0.246,0.3528,0.0448,0.2215,0.0,0.0,0.0,93.960744,3.0,15.1,9.12,0.1297,0.6555,312.0,1,0.5,0.427,3657.0,4.81,0.096,8.578,4.3996,1.203486411261527,21.2858,23.4079,22.2758,21.8426,21.4094,21.1376,21.2362,21.3348
32,50939,50939.01,3.09144,106.856143,0.102088,17.286061,89.3661,0.0794,46.6,0.0581,0.2585,0.246,0.3528,0.0448,0.2215,0.0,0.0,1e-06,105.418381,23.0,7.4,4.35,0.0314,0.1912,630.0,1,0.433,0.391,3802.0,4.9,-0.371,8.604,4.4645,1.5031532223113593,21.4439,23.5111,22.4204,21.9887,21.557,21.3148,21.3953,21.4757
33,52506,52506.01,17.211526,119.195036,0.114953,30.535419,88.9558,0.0517,346.3,0.0755,0.3776,0.4143,0.1988,0.0774,0.3097,0.0,0.0,0.0,111.140809,4.0,33.7,10.96,0.1241,0.5565,627.0,1,0.86,0.874,5029.0,4.55,0.018,5.64,4.5045,1.2906702271642307,18.8601,19.8015,19.264,19.0641,18.8642,18.7588,18.9065,19.0543
34,71531,71531.01,0.724931,105.67198,0.036378,2.811278,77.6775,0.0894,38.2,0.0777,0.2628,0.2574,0.2635,0.075,0.2206,4.9e-05,1.3e-05,9.8e-05,105.342162,96.0,17.2,5.07,0.0167,0.6,2533.0,2,1.18,1.277,6166.0,4.35,0.28,3.932,4.9388,1.7686475774097177,17.8136,18.5002,17.9451,17.8324,17.7198,17.7785,17.9249,18.0714
35,71531,71531.02,21.524821,125.319953,0.087151,26.956638,89.8696,0.0071,65.3,0.0777,0.2628,0.2574,0.2635,0.075,0.2206,0.0,0.0,2e-06,114.600385,3.0,30.8,12.14,0.1601,0.0614,818.0,2,1.18,1.277,6166.0,4.35,0.28,3.932,4.9388,1.7686475774097177,17.8136,18.5002,17.9451,17.8324,17.7198,17.7785,17.9249,18.0714
36,78456,78456.01,7.819342,111.661013,0.217119,23.109028,88.3634,0.0749,141.7,0.1502,0.3388,0.4903,0.1575,0.1291,0.2848,0.0,0.0,1e-06,115.278914,9.0,54.8,14.87,0.0675,0.66,592.0,2,0.67,0.628,4135.0,4.66,0.205,7.207,5.0784,1.89745158643512,20.476,22.41,21.3771,21.0032,20.6293,20.3024,20.4096,20.5168
37,78456,78456.02,11.256104,108.751721,0.065163,29.461867,88.8286,0.0646,91.0,0.1502,0.3388,0.4903,0.1575,0.1291,0.2848,0.0,0.0,0.0,114.372817,6.0,4.3,4.46,0.0861,0.6023,525.0,2,0.67,0.628,4135.0,4.66,0.205,7.207,5.0784,1.89745158643512,20.476,22.41,21.3771,21.0032,20.6293,20.3024,20.4096,20.5168
38,129346,129346.01,11.684523,115.267293,0.247679,34.175271,88.6271,0.0736,169.8,0.1464,0.3012,0.3782,0.2412,0.1185,0.2557,0.0,0.0,0.0,120.572391,6.0,36.0,14.18,0.0835,0.8188,489.0,2,0.567,0.525,4150.0,4.76,-0.371,7.583,5.9739,1.7073122206153128,21.0737,22.8456,21.9077,21.561,21.2142,20.9068,21.0167,21.1266
39,129346,129346.02,23.817045,105.126435,0.171416,54.941,89.5979,0.3315,195.4,0.1464,0.3012,0.3782,0.2412,0.1185,0.2557,0.0,0.0,0.0,112.255521,3.0,13.7,9.82,0.1342,0.3856,386.0,2,0.567,0.525,4150.0,4.76,-0.371,7.583,5.9739,1.7073122206153128,21.0737,22.8456,21.9077,21.561,21.2142,20.9068,21.0167,21.1266
40,147446,147446.01,0.93662,105.406005,0.112571,6.099097,88.0093,0.0414,252.5,0.1502,0.3388,0.4903,0.1575,0.1291,0.2848,2e-05,0.0,8.6e-05,105.86706,75.0,14.7,6.84,0.0158,0.2119,1198.0,2,0.599,0.557,4295.0,4.73,-0.771,7.302,6.2614,2.0713811406312583,21.2994,23.1167,22.1248,21.7734,21.4221,21.157,21.2479,21.3388
41,147446,147446.02,18.013232,118.531668,0.171661,43.780874,89.56,0.043,113.6,0.1502,0.3388,0.4903,0.1575,0.1291,0.2848,0.0,0.0,0.0,127.342351,4.0,12.9,10.43,0.1134,0.3362,447.0,2,0.599,0.557,4295.0,4.73,-0.771,7.302,6.2614,2.0713811406312583,21.2994,23.1167,22.1248,21.7734,21.4221,21.157,21.2479,21.3388
42,160558,160558.01,0.67689,105.111413,0.037199,3.751771,87.4794,0.024,292.2,0.0522,0.3382,0.2982,0.2657,0.0572,0.2796,2.3e-05,4e-06,5.8e-05,104.777036,104.0,5.4,3.29,0.0142,0.165,2027.0,2,0.824,0.811,5702.0,4.54,-0.351,5.258,6.4645,1.9710540563697705,19.8938,20.8968,20.208,20.0384,19.8687,19.822,19.9548,20.0875
43,160558,160558.02,16.868113,105.510631,0.249808,32.008757,89.5376,0.0395,69.0,0.0522,0.3382,0.2982,0.2657,0.0572,0.2796,0.0,0.0,4e-06,97.23014,5.0,91.3,22.1,0.1207,0.2583,694.0,2,0.824,0.811,5702.0,4.54,-0.351,5.258,6.4645,1.9710540563697705,19.8938,20.8968,20.208,20.0384,19.8687,19.822,19.9548,20.0875
44,175581,175581.01,24.45155,107.763079,0.035533,28.917162,89.3263,0.0158,189.2,0.0821,0.2709,0.2773,0.2587,0.0785,0.2281,0.0,0.0,0.0,119.748592,3.0,3.6,4.64,0.1611,0.34,782.0,2,0.932,1.198,6109.0,4.25,-0.225,4.109,6.6903,1.7712762519721568,18.8114,19.5541,18.9786,18.8551,18.7317,18.7679,18.9129,19.0579
45,175581,175581.02,225.273747,173.139483,0.091181,127.084268,89.8789,0.0369,312.3,0.0821,0.2709,0.2773,0.2587,0.0785,0.2281,0.0,0.0,0.0,64.0752,1.0,20.0,11.91,0.7081,0.2686,373.0,2,0.932,1.198,6109.0,4.25,-0.225,4.109,6.6903,1.7712762519721568,18.8114,19.5541,18.9786,18.8551,18.7317,18.7679,18.9129,19.0579
46,183817,183817.01,97.853332,118.212271,0.141798,106.89048,89.5155,0.0062,207.4,0.0592,0.3512,0.3351,0.2463,0.0641,0.2889,0.0,0.0,0.0,166.799754,1.0,16.3,12.03,0.3868,0.904,372.0,1,0.805,0.778,5585.0,4.57,-0.682,5.438,6.8143,2.1265828886288345,20.0344,21.1836,20.427,20.2326,20.0382,19.9502,20.0729,20.1955
47,195876,195876.01,23.623917,112.258614,0.067239,42.763848,89.4323,0.0239,254.6,0.0592,0.3512,0.3351,0.2463,0.0641,0.2889,0.0,0.0,0.0,123.976652,3.0,4.9,5.49,0.1488,0.4237,576.0,1,0.786,0.748,5470.0,4.59,-0.48,5.613,6.9907,1.7384179243950786,20.1024,21.1024,20.4445,20.2709,20.0973,20.0161,20.1507,20.2854
48,196639,196639.01,2.611545,106.61598,0.107789,11.045128,87.7813,0.0436,102.8,0.1271,0.3347,0.465,0.158,0.1182,0.2758,3e-06,0.0,1.9e-05,107.905995,27.0,12.6,7.47,0.0326,0.4276,985.0,3,0.678,0.635,4753.0,4.67,-0.637,6.579,7.0013,1.8593361186399875,20.9026,22.3746,21.6099,21.297,20.9841,20.7719,20.8865,21.0012
49,196639,196639.02,22.376639,108.801685,0.111264,46.248998,89.2398,0.0556,81.1,0.1271,0.3347,0.465,0.158,0.1182,0.2758,0.0,0.0,0.0,97.73726,3.0,6.4,7.71,0.1366,0.6136,481.0,3,0.678,0.635,4753.0,4.67,-0.637,6.579,7.0013,1.8593361186399875,20.9026,22.3746,21.6099,21.297,20.9841,20.7719,20.8865,21.0012
50,196639,196639.03,31.725931,111.279948,0.155373,58.368967,89.1226,0.0157,322.6,0.1271,0.3347,0.465,0.158,0.1182,0.2758,0.0,0.0,0.0,95.670996,3.0,13.2,10.76,0.1724,0.8938,428.0,3,0.678,0.635,4753.0,4.67,-0.637,6.579,7.0013,1.8593361186399875,20.9026,22.3746,21.6099,21.297,20.9841,20.7719,20.8865,21.0012
51,202486,202486.01,6.332848,111.169327,0.104607,22.223235,89.7441,0.0467,317.7,0.1502,0.3388,0.4903,0.1575,0.1291,0.2848,0.0,0.0,0.0,108.142597,11.0,6.9,6.18,0.056,0.0993,616.0,1,0.584,0.542,4217.0,4.74,0.1,7.443,7.0843,2.113001438207369,21.4749,23.4339,22.3917,22.0098,21.6278,21.3056,21.4067,21.5078
52,214819,214819.01,6.210034,109.025313,0.066377,17.999904,89.001,0.0012,22.5,0.1085,0.3114,0.3915,0.2026,0.1048,0.2556,0.0,0.0,2e-06,105.925412,11.0,4.9,5.23,0.0605,0.3138,868.0,2,0.766,0.723,5346.0,4.61,-0.376,5.785,7.2539,2.0735715286776046,20.5351,21.7731,21.0117,20.789,20.5662,20.4334,20.5549,20.6764
53,214819,214819.02,14.843851,105.306552,0.075434,32.178955,89.1605,0.063,298.4,0.1085,0.3114,0.3915,0.2026,0.1048,0.2556,0.0,0.0,0.0,98.16925,5.0,5.0,5.95,0.1082,0.4715,649.0,2,0.766,0.723,5346.0,4.61,-0.376,5.785,7.2539,2.0735715286776046,20.5351,21.7731,21.0117,20.789,20.5662,20.4334,20.5549,20.6764
54,224642,224642.01,14.865804,119.395698,0.097563,31.741853,88.3692,0.0722,187.0,0.1371,0.3446,0.496,0.1421,0.1239,0.2866,0.0,0.0,0.0,126.15177,4.0,7.4,7.68,0.1066,0.9033,544.0,3,0.73,0.722,4449.0,4.63,0.411,6.586,7.3833,1.9202332933717108,20.5708,22.3137,21.4237,21.0568,20.6898,20.4157,20.5294,20.643
55,224642,224642.02,20.566488,109.902853,0.266833,39.410635,89.9408,0.1053,291.4,0.1371,0.3446,0.496,0.1421,0.1239,0.2866,0.0,0.0,0.0,100.125386,4.0,58.1,21.01,0.1323,0.0407,488.0,3,0.73,0.722,4449.0,4.63,0.411,6.586,7.3833,1.9202332933717108,20.5708,22.3137,21.4237,21.0568,20.6898,20.4157,20.5294,20.643
56,224642,224642.03,26.865963,108.97536,0.280803,47.095015,89.6813,0.0031,269.5,0.1371,0.3446,0.496,0.1421,0.1239,0.2866,0.0,0.0,0.0,122.409708,3.0,58.3,22.11,0.1582,0.2619,446.0,3,0.73,0.722,4449.0,4.63,0.411,6.586,7.3833,1.9202332933717108,20.5708,22.3137,21.4237,21.0568,20.6898,20.4157,20.5294,20.643
57,227669,227669.01,7.724276,110.577598,0.043717,19.01646,88.3471,0.0869,234.6,0.0522,0.3382,0.2982,0.2657,0.0572,0.2796,0.0,0.0,1e-06,114.19234,9.0,3.1,3.87,0.0717,0.5485,901.0,1,0.824,0.811,5702.0,4.54,-0.426,5.258,7.4208,2.113001438207369,20.0343,21.1149,20.3827,20.2008,20.0188,19.9596,20.0872,20.2148
58,232842,232842.01,21.649717,125.003193,0.140155,41.384943,89.6796,0.2177,21.0,0.1085,0.3114,0.3915,0.2026,0.1048,0.2556,0.0,0.0,0.0,116.969173,3.0,15.7,11.05,0.1392,0.2315,572.0,1,0.766,0.723,5346.0,4.61,-0.643,5.785,7.4845,1.5929656083230903,20.2796,21.2686,20.6411,20.4609,20.2807,20.1884,20.3241,20.4597
59,265924,265924.01,27.808882,127.656127,0.065349,46.203793,88.9549,0.052,58.2,0.0592,0.3512,0.3351,0.2463,0.0641,0.2889,0.0,0.0,0.0,114.238816,2.0,3.3,5.55,0.1672,0.8428,566.0,1,0.805,0.778,5585.0,4.57,-0.483,5.438,7.8486,1.875984321233161,20.3159,21.3307,20.6483,20.4757,20.3032,20.2357,20.3686,20.5014
60,267366,267366.01,3.251186,105.05254,0.080674,13.431419,87.7573,0.0494,100.8,0.1371,0.3446,0.496,0.1421,0.1239,0.2866,0.0,0.0,4e-06,106.659372,22.0,5.3,5.19,0.0369,0.5256,838.0,1,0.631,0.59,4457.0,4.7,-0.606,7.018,7.862,1.7660189028472784,21.1546,22.7673,21.9236,21.5917,21.2599,21.0112,21.121,21.2308
61,300926,300926.01,7.356773,108.902973,0.269927,21.700815,88.0807,0.0317,65.4,0.1271,0.3347,0.465,0.158,0.1182,0.2758,1e-06,0.0,9e-06,105.287168,9.0,55.2,19.14,0.0656,0.7268,719.0,1,0.695,0.65,4864.0,4.66,-0.649,6.427,8.1752,1.705121623662143,20.9138,22.2273,21.5218,21.2464,20.9711,20.7944,20.9162,21.038
62,323148,323148.01,24.01082,123.418677,0.191669,40.503802,89.3622,0.0108,250.4,0.0522,0.3382,0.2982,0.2657,0.0572,0.2796,0.0,0.0,1e-06,135.370596,3.0,36.4,16.96,0.1528,0.4509,617.0,1,0.824,0.811,5702.0,4.54,-0.712,5.258,8.3859,1.9609774357292828,20.2288,21.2329,20.5425,20.3742,20.2059,20.1565,20.2879,20.4192
63,340321,340321.01,19.66142,115.571944,0.078379,38.605011,88.756,0.0194,172.4,0.1371,0.3446,0.496,0.1421,0.1239,0.2866,0.0,0.0,0.0,125.16362,4.0,3.8,6.09,0.1278,0.8381,489.0,3,0.72,0.712,4410.0,4.61,0.196,6.654,8.5028,2.119573020160056,20.9257,22.789,21.8275,21.4463,21.0651,20.7619,20.8683,20.9747
64,340321,340321.02,26.818375,115.963906,0.112298,47.481241,89.0059,0.1221,230.2,0.1371,0.3446,0.496,0.1421,0.1239,0.2866,0.0,0.0,0.0,128.034686,3.0,7.2,8.72,0.1572,0.8238,441.0,3,0.72,0.712,4410.0,4.61,0.196,6.654,8.5028,2.119573020160056,20.9257,22.789,21.8275,21.4463,21.0651,20.7619,20.8683,20.9747
65,340321,340321.03,59.246611,108.300091,0.102851,80.539593,89.4824,0.1018,318.6,0.1371,0.3446,0.496,0.1421,0.1239,0.2866,0.0,0.0,0.0,81.563057,2.0,5.6,7.99,0.2667,0.7275,338.0,3,0.72,0.712,4410.0,4.61,0.196,6.654,8.5028,2.119573020160056,20.9257,22.789,21.8275,21.4463,21.0651,20.7619,20.8683,20.9747
66,372100,372100.01,29.253224,125.991991,0.096763,54.467025,89.7776,0.0093,179.6,0.1271,0.3347,0.465,0.158,0.1182,0.2758,0.0,0.0,0.0,140.44779,2.0,3.4,6.86,0.1647,0.2114,454.0,2,0.695,0.65,4864.0,4.66,-0.982,6.427,8.818,1.6231951568843177,21.1901,22.4524,21.7727,21.5059,21.2391,21.0768,21.1978,21.3187
